Timestamp,Username,Role,Action
2025-05-09 21:52:03,XF6N0R4,admin,login_success
2025-05-09 21:52:03,XF6N0R4,admin,login_success
2025-05-09 21:53:56,W3PHXNA,nurse,login_success
2025-05-09 21:53:56,W3PHXNA,nurse,login_success
2025-05-09 22:00:36,XF6N0R4,admin,login_success
2025-05-09 22:00:36,XF6N0R4,admin,login_success
2025-05-09 22:01:34,W3PHXNA,nurse,login_success
2025-05-09 22:01:34,W3PHXNA,nurse,login_success
2025-05-09 22:04:24,XF6N0R4,admin,login_success
2025-05-09 22:04:24,XF6N0R4,admin,login_success
2025-05-09 22:57:13,XF6N0R4,admin,login_success
2025-05-09 22:57:13,XF6N0R4,admin,login_success
2025-05-09 22:58:17,XF6N0R4,admin,count_visits on 7/13/2011
2025-05-09 22:58:34,XF6N0R4,admin,count_visits on 6/13/2016
2025-05-09 22:58:35,XF6N0R4,admin,logout
2025-05-09 22:59:42,W3PHXNA,nurse,login_success
2025-05-09 22:59:42,W3PHXNA,nurse,login_success
2025-05-09 23:04:35,W3PHXNA,nurse,count_visits on 7/13/2011
2025-05-09 23:05:40,W3PHXNA,nurse,logout
2025-05-09 23:07:02,KX9UDNG,clinician,login_success
2025-05-09 23:07:02,KX9UDNG,clinician,login_success
2025-05-09 23:08:01,KX9UDNG,clinician,count_visits on 7/13/2011
2025-05-09 23:08:41,KX9UDNG,clinician,count_visits on 2011-7-13
2025-05-09 23:08:44,KX9UDNG,clinician,logout
2025-05-09 23:23:40,USOOUA9,management,login_success
2025-05-09 23:23:40,USOOUA9,management,login_success
2025-05-09 23:24:05,USOOUA9,management,logout
2025-05-09 23:24:32,XF6N0R4,admin,login_success
2025-05-09 23:24:32,XF6N0R4,admin,login_success
2025-05-09 23:25:02,XF6N0R4,admin,count_visits on 7/13/2011
2025-05-09 23:25:04,XF6N0R4,admin,logout
2025-05-09 23:26:05,W3PHXNA,nurse,login_success
2025-05-09 23:26:05,W3PHXNA,nurse,login_success
2025-05-09 23:26:26,W3PHXNA,nurse,logout
2025-05-09 23:30:45,W3PHXNA,nurse,login_success
2025-05-09 23:30:45,W3PHXNA,nurse,login_success
2025-05-09 23:31:22,W3PHXNA,nurse,count_visits on 7/13/2011
2025-05-09 23:31:37,W3PHXNA,nurse,logout
2025-05-09 23:38:52,XF6N0R4,admin,login_success
2025-05-09 23:38:52,XF6N0R4,admin,login_success
2025-05-09 23:41:06,XF6N0R4 ,unknown,login_failed
2025-05-09 23:41:06,XF6N0R4 ,unknown,login_failed
2025-05-09 23:41:29,W3PHXNA,nurse,login_success
2025-05-09 23:41:29,W3PHXNA,nurse,login_success
2025-05-09 23:43:56,W3PHXNA,nurse,login_success
2025-05-09 23:43:56,W3PHXNA,nurse,login_success
2025-05-09 23:44:11,W3PHXNA,nurse,count_visits on 6/13/2016
2025-05-09 23:47:43,W3PHXNA,nurse,logout
2025-05-09 23:48:06,W3PHXNA,nurse,login_success
2025-05-09 23:48:06,W3PHXNA,nurse,login_success
2025-05-09 23:48:24,W3PHXNA,nurse,count_visits on 6/13/2016
2025-05-09 23:50:40,W3PHXNA,nurse,logout
2025-05-09 23:50:47,system,system,application_exit
2025-05-09 23:56:11,W3PHXNA,nurse,login_success
2025-05-09 23:56:11,W3PHXNA,nurse,login_success
2025-05-09 23:56:27,W3PHXNA,nurse,count_visits on 7/13/2011
2025-05-10 00:06:03,W3PHXNA,nurse,count_visits on 7/13/2011
2025-05-10 00:06:06,W3PHXNA,nurse,logout
2025-05-10 00:06:36,XF6N0R4,admin,login_success
2025-05-10 00:06:36,XF6N0R4,admin,login_success
2025-05-10 00:06:51,XF6N0R4,admin,count_visits on 7/13/2011
2025-05-10 00:06:52,XF6N0R4,admin,logout
2025-05-10 08:33:37,XF6N0R4,admin,login_success
2025-05-10 08:33:37,XF6N0R4,admin,login_success
2025-05-10 08:34:06,XF6N0R4,admin,count_visits on 7/13/2011
2025-05-10 08:34:32,XF6N0R4,admin,count_visits on 4/20/2023
2025-05-10 08:34:33,XF6N0R4,admin,logout
2025-05-10 08:35:01,W3PHXNA,nurse,login_success
2025-05-10 08:35:01,W3PHXNA,nurse,login_success
2025-05-10 08:35:24,W3PHXNA,nurse,count_visits on 4/20/2023
2025-05-10 08:38:14,W3PHXNA,nurse,add_patient 16754
2025-05-10 08:39:53,W3PHXNA,nurse,remove_patient 954495
2025-05-10 08:40:47,W3PHXNA,nurse,retrieve_patient 965888
2025-05-10 08:40:47,W3PHXNA,nurse,retrieve_patient 992758
2025-05-10 08:42:12,W3PHXNA,nurse,view_note 992758 587636
2025-05-10 08:42:41,W3PHXNA,nurse,remove_patient 992758
2025-05-10 08:42:59,W3PHXNA,nurse,logout
2025-05-10 08:44:42,USOOUA9,management,login_success
2025-05-10 08:44:42,USOOUA9,management,login_success
2025-05-10 08:44:59,USOOUA9,management,logout
2025-05-10 09:00:50,USOOUA9,management,login_success
2025-05-10 09:00:50,USOOUA9,management,login_success
2025-05-10 09:03:12,USOOUA9,management,logout
2025-05-10 09:26:38,USOOUA9,management,login_success
2025-05-10 09:26:38,USOOUA9,management,login_success
2025-05-10 09:26:53,USOOUA9,management,logout
2025-05-10 09:31:35,USOOUA9,management,login_success
2025-05-10 09:31:35,USOOUA9,management,login_success
2025-05-10 09:31:46,USOOUA9,management,logout
2025-05-10 09:32:27,W3PHXNA,nurse,login_success
2025-05-10 09:32:27,W3PHXNA,nurse,login_success
2025-05-10 09:33:10,W3PHXNA,nurse,count_visits on 4/20/2023
2025-05-10 09:33:52,W3PHXNA,nurse,remove_patient 250132
2025-05-10 09:34:10,W3PHXNA,nurse,retrieve_patient 250132
2025-05-10 09:34:25,W3PHXNA,nurse,retrieve_patient 202319
2025-05-10 09:35:19,W3PHXNA,nurse,view_note 172573 108607
2025-05-10 09:35:25,W3PHXNA,nurse,logout
2025-05-10 12:32:49,W3PHXNA,unknown,login_failed
2025-05-10 12:32:49,W3PHXNA,unknown,login_failed
2025-05-10 12:33:35,W3PHXNA,nurse,login_success
2025-05-10 12:33:35,W3PHXNA,nurse,login_success
2025-05-10 12:36:16,W3PHXNA,nurse,remove_patient 992758
2025-05-10 12:38:10,W3PHXNA,nurse,retrieve_patient 16755
2025-05-10 12:38:13,W3PHXNA,nurse,retrieve_patient 16755
2025-05-10 12:39:19,W3PHXNA,nurse,view_note 16755 591642
2025-05-10 12:39:21,W3PHXNA,nurse,logout
2025-05-10 12:43:24,W3PHXNA,nurse,login_success
2025-05-10 12:43:24,W3PHXNA,nurse,login_success
2025-05-10 13:14:23,W3PHXNA,nurse,login_success
2025-05-10 13:14:23,W3PHXNA,nurse,login_success
2025-05-10 13:15:53,W3PHXNA,nurse,remove_patient 79711
2025-05-10 13:16:13,W3PHXNA,nurse,retrieve_patient 79711
2025-05-10 13:16:55,W3PHXNA,nurse,view_note 16755 591642
2025-05-10 13:17:02,W3PHXNA,nurse,logout
2025-05-10 13:18:04,USOOUA9,management,login_success
2025-05-10 13:18:04,USOOUA9,management,login_success
2025-05-10 13:18:33,USOOUA9,management,logout
2025-05-10 13:19:24,XF6N0R4,admin,login_success
2025-05-10 13:19:24,XF6N0R4,admin,login_success
2025-05-10 13:20:05,XF6N0R4,admin,count_visits on 8/20/2014
2025-05-10 13:20:07,XF6N0R4,admin,logout
2025-05-10 13:48:34,USOOUA9,management,login_success
2025-05-10 13:48:34,USOOUA9,management,login_success
